"id","category","text_he","priority"
"content-colors-021","שאלה: colors","לאיזו קבוצת צבעים שייך אדום?","חובה"
"content-colors-023","שאלה: colors","מה הצבע של עלה?","חובה"
"content-colors-024","שאלה: colors","לאיזו קבוצת צבעים שייך צהוב?","חובה"
"content-colors-026","שאלה: colors","מה הצבע של חציל?","חובה"
"content-colors-027","שאלה: colors","לאיזו קבוצת צבעים שייך ורוד?","חובה"
"content-colors-029","שאלה: colors","מה הצבע של לילה?","חובה"
"content-colors-030","שאלה: colors","לאיזו קבוצת צבעים שייך חום?","חובה"
"content-letters-001","שאלה: letters","בחרו את האות א","חובה"
"content-letters-002","שאלה: letters","באיזו אות מתחילה המילה בית?","חובה"
"content-letters-003","שאלה: letters","איזו מילה מתחילה באות ג?","חובה"
"content-letters-004","שאלה: letters","בחרו את האות ד","חובה"
"content-letters-005","שאלה: letters","באיזו אות מתחילה המילה הר?","חובה"
"content-letters-006","שאלה: letters","איזו מילה מתחילה באות ו?","חובה"
"content-letters-007","שאלה: letters","בחרו את האות ז","חובה"
"content-letters-008","שאלה: letters","באיזו אות מתחילה המילה חתול?","חובה"
"content-letters-009","שאלה: letters","איזו מילה מתחילה באות ט?","חובה"
"content-letters-010","שאלה: letters","בחרו את האות י","חובה"
"content-letters-011","שאלה: letters","באיזו אות מתחילה המילה כדור?","חובה"
"content-letters-012","שאלה: letters","איזו מילה מתחילה באות ל?","חובה"
"content-letters-013","שאלה: letters","בחרו את האות מ","חובה"
"content-letters-014","שאלה: letters","באיזו אות מתחילה המילה נר?","חובה"
"content-letters-015","שאלה: letters","איזו מילה מתחילה באות ס?","חובה"
"content-letters-016","שאלה: letters","בחרו את האות ע","חובה"
"content-letters-017","שאלה: letters","באיזו אות מתחילה המילה פרח?","חובה"
"content-letters-018","שאלה: letters","איזו מילה מתחילה באות צ?","חובה"
"content-letters-019","שאלה: letters","בחרו את האות ק","חובה"
"content-letters-020","שאלה: letters","באיזו אות מתחילה המילה רכבת?","חובה"
"content-letters-021","שאלה: letters","איזו מילה מתחילה באות ש?","חובה"
"content-letters-022","שאלה: letters","בחרו את האות ת","חובה"
"content-letters-023","שאלה: letters","באיזו אות מתחילה המילה אבטיח?","חובה"
"content-letters-024","שאלה: letters","איזו מילה מתחילה באות ב?","חובה"
"content-letters-025","שאלה: letters","בחרו את האות ג","חובה"
"content-letters-026","שאלה: letters","באיזו אות מתחילה המילה דלת?","חובה"
"content-letters-027","שאלה: letters","איזו מילה מתחילה באות ח?","חובה"
"content-letters-029","שאלה: letters","באיזו אות מתחילה המילה כוכב?","חובה"
"content-letters-032","שאלה: letters","באיזו אות מתחילה המילה נעל?","חובה"
"content-letters-035","שאלה: letters","באיזו אות מתחילה המילה פיל?","חובה"
"content-letters-038","שאלה: letters","באיזו אות מתחילה המילה רימון?","חובה"
"content-letters-041","שאלה: letters","באיזו אות מתחילה המילה אריה?","חובה"
"content-letters-044","שאלה: letters","באיזו אות מתחילה המילה דג?","חובה"
"content-letters-045","שאלה: letters","איזו מילה מתחילה באות ה?","חובה"
"content-letters-046","שאלה: letters","בחרו את האות ו","חובה"
"content-letters-047","שאלה: letters","באיזו אות מתחילה המילה זברה?","חובה"
"content-letters-049","שאלה: letters","בחרו את האות ט","חובה"
"content-letters-050","שאלה: letters","באיזו אות מתחילה המילה ירח?","חובה"
"content-letters-051","שאלה: letters","איזו מילה מתחילה באות כ?","חובה"
"content-letters-052","שאלה: letters","בחרו את האות ל","חובה"
"content-letters-053","שאלה: letters","באיזו אות מתחילה המילה מטרייה?","חובה"
"content-letters-054","שאלה: letters","איזו מילה מתחילה באות נ?","חובה"
"content-letters-055","שאלה: letters","בחרו את האות ס","חובה"
"content-letters-056","שאלה: letters","באיזו אות מתחילה המילה עץ?","חובה"
"content-letters-057","שאלה: letters","איזו מילה מתחילה באות פ?","חובה"
"content-letters-058","שאלה: letters","בחרו את האות צ","חובה"
"content-letters-059","שאלה: letters","באיזו אות מתחילה המילה קוף?","חובה"
"content-letters-060","שאלה: letters","איזו מילה מתחילה באות ר?","חובה"
"content-letters-061","שאלה: letters","בחרו את האות ש","חובה"
"content-letters-062","שאלה: letters","באיזו אות מתחילה המילה תפוח?","חובה"
"content-letters-063","שאלה: letters","איזו מילה מתחילה באות א?","חובה"
"content-letters-064","שאלה: letters","בחרו את האות ב","חובה"
"content-letters-065","שאלה: letters","באיזו אות מתחילה המילה גזר?","חובה"
"content-letters-066","שאלה: letters","איזו מילה מתחילה באות ד?","חובה"
"content-letters-067","שאלה: letters","בחרו את האות ח","חובה"
"content-letters-068","שאלה: letters","באיזו אות מתחילה המילה ילקוט?","חובה"
"content-letters-071","שאלה: letters","באיזו אות מתחילה המילה מכונית?","חובה"
"content-letters-074","שאלה: letters","באיזו אות מתחילה המילה עיפרון?","חובה"
"content-letters-077","שאלה: letters","באיזו אות מתחילה המילה קשת?","חובה"
"content-letters-080","שאלה: letters","באיזו אות מתחילה המילה תות?","חובה"
"content-letters-083","שאלה: letters","באיזו אות מתחילה המילה גמל?","חובה"
"content-letters-085","שאלה: letters","בחרו את האות ה","חובה"
"content-letters-086","שאלה: letters","באיזו אות מתחילה המילה ורד?","חובה"
"content-letters-087","שאלה: letters","איזו מילה מתחילה באות ז?","חובה"
"content-letters-089","שאלה: letters","באיזו אות מתחילה המילה טווס?","חובה"
"content-letters-090","שאלה: letters","איזו מילה מתחילה באות י?","חובה"
"content-letters-091","שאלה: letters","בחרו את האות כ","חובה"
"content-letters-092","שאלה: letters","באיזו אות מתחילה המילה לימון?","חובה"
"content-letters-093","שאלה: letters","איזו מילה מתחילה באות מ?","חובה"
"content-letters-094","שאלה: letters","בחרו את האות נ","חובה"
"content-letters-095","שאלה: letters","באיזו אות מתחילה המילה ספר?","חובה"
"content-letters-096","שאלה: letters","איזו מילה מתחילה באות ע?","חובה"
"content-letters-097","שאלה: letters","בחרו את האות פ","חובה"
"content-letters-098","שאלה: letters","באיזו אות מתחילה המילה צב?","חובה"
"content-letters-099","שאלה: letters","איזו מילה מתחילה באות ק?","חובה"
"content-letters-100","שאלה: letters","בחרו את האות ר","חובה"
"content-letters-101","שאלה: letters","באיזו אות מתחילה המילה שמש?","חובה"
"content-letters-102","שאלה: letters","איזו מילה מתחילה באות ת?","חובה"
"content-letters-104","שאלה: letters","באיזו אות מתחילה המילה בננה?","חובה"
"content-letters-107","שאלה: letters","באיזו אות מתחילה המילה חיפושית?","חובה"
"content-letters-110","שאלה: letters","באיזו אות מתחילה המילה לחם?","חובה"
"content-letters-113","שאלה: letters","באיזו אות מתחילה המילה סירה?","חובה"
"content-letters-116","שאלה: letters","באיזו אות מתחילה המילה ציפור?","חובה"
"content-letters-119","שאלה: letters","באיזו אות מתחילה המילה שעון?","חובה"
"content-matching-001","מילת התאמה","תפוח","חובה"
"content-matching-002","מילת התאמה","בננה","חובה"
"content-matching-003","מילת התאמה","ענבים","חובה"
"content-matching-004","מילת התאמה","תות","חובה"
"content-matching-005","מילת התאמה","אבטיח","חובה"
"content-matching-006","מילת התאמה","אגס","חובה"
"content-matching-007","מילת התאמה","אפרסק","חובה"
"content-matching-008","מילת התאמה","דובדבנים","חובה"
"content-matching-009","מילת התאמה","אננס","חובה"
"content-matching-010","מילת התאמה","תפוז","חובה"
"content-matching-011","מילת התאמה","גזר","חובה"
"content-matching-012","מילת התאמה","עגבנייה","חובה"
"content-matching-013","מילת התאמה","מלפפון","חובה"
"content-matching-014","מילת התאמה","תירס","חובה"
"content-matching-015","מילת התאמה","פלפל","חובה"
"content-matching-016","מילת התאמה","ברוקולי","חובה"
"content-matching-017","מילת התאמה","בצל","חובה"
"content-matching-018","מילת התאמה","תפוח אדמה","חובה"
"content-matching-019","מילת התאמה","חציל","חובה"
"content-matching-020","מילת התאמה","חסה","חובה"
"content-matching-021","מילת התאמה","כלב","חובה"
"content-matching-022","מילת התאמה","חתול","חובה"
"content-matching-023","מילת התאמה","אריה","חובה"
"content-matching-024","מילת התאמה","פיל","חובה"
"content-matching-025","מילת התאמה","קוף","חובה"
"content-matching-026","מילת התאמה","דג","חובה"
"content-matching-027","מילת התאמה","ציפור","חובה"
"content-matching-028","מילת התאמה","צב","חובה"
"content-matching-029","מילת התאמה","ארנב","חובה"
"content-matching-030","מילת התאמה","פרפר","חובה"
"content-matching-031","מילת התאמה","מכונית","חובה"
"content-matching-032","מילת התאמה","אוטובוס","חובה"
"content-matching-033","מילת התאמה","רכבת","חובה"
"content-matching-034","מילת התאמה","אופניים","חובה"
"content-matching-035","מילת התאמה","מטוס","חובה"
"content-matching-036","מילת התאמה","סירה","חובה"
"content-matching-037","מילת התאמה","משאית","חובה"
"content-matching-038","מילת התאמה","מונית","חובה"
"content-matching-039","מילת התאמה","טרקטור","חובה"
"content-matching-040","מילת התאמה","קורקינט","חובה"
"content-matching-041","מילת התאמה","חולצה","חובה"
"content-matching-042","מילת התאמה","מכנסיים","חובה"
"content-matching-043","מילת התאמה","שמלה","חובה"
"content-matching-044","מילת התאמה","גרב","חובה"
"content-matching-045","מילת התאמה","נעל","חובה"
"content-matching-046","מילת התאמה","כובע","חובה"
"content-matching-047","מילת התאמה","מעיל","חובה"
"content-matching-048","מילת התאמה","כפפה","חובה"
"content-matching-049","מילת התאמה","צעיף","חובה"
"content-matching-050","מילת התאמה","סנדל","חובה"
"content-matching-051","מילת התאמה","כיסא","חובה"
"content-matching-052","מילת התאמה","מיטה","חובה"
"content-matching-053","מילת התאמה","ספה","חובה"
"content-matching-054","מילת התאמה","שולחן","חובה"
"content-matching-055","מילת התאמה","ארון","חובה"
"content-matching-056","מילת התאמה","מדף","חובה"
"content-matching-057","מילת התאמה","מנורה","חובה"
"content-matching-058","מילת התאמה","שרפרף","חובה"
"content-matching-059","מילת התאמה","שידה","חובה"
"content-matching-060","מילת התאמה","ערסל","חובה"
"content-matching-061","מילת התאמה","ספר","חובה"
"content-matching-062","מילת התאמה","עיפרון","חובה"
"content-matching-063","מילת התאמה","מחברת","חובה"
"content-matching-064","מילת התאמה","סרגל","חובה"
"content-matching-065","מילת התאמה","מספריים","חובה"
"content-matching-066","מילת התאמה","ילקוט","חובה"
"content-matching-067","מילת התאמה","מחק","חובה"
"content-matching-068","מילת התאמה","צבע","חובה"
"content-matching-069","מילת התאמה","דבק","חובה"
"content-matching-070","מילת התאמה","לוח","חובה"
"content-matching-071","מילת התאמה","גיטרה","חובה"
"content-matching-072","מילת התאמה","כינור","חובה"
"content-matching-073","מילת התאמה","תוף","חובה"
"content-matching-074","מילת התאמה","פסנתר","חובה"
"content-matching-075","מילת התאמה","חצוצרה","חובה"
"content-matching-076","מילת התאמה","חליל","חובה"
"content-matching-077","מילת התאמה","מיקרופון","חובה"
"content-matching-078","מילת התאמה","פעמון","חובה"
"content-matching-079","מילת התאמה","אקורדיון","חובה"
"content-matching-080","מילת התאמה","סקסופון","חובה"
"content-matching-081","מילת התאמה","שמש","חובה"
"content-matching-082","מילת התאמה","ענן","חובה"
"content-matching-083","מילת התאמה","גשם","חובה"
"content-matching-084","מילת התאמה","שלג","חובה"
"content-matching-085","מילת התאמה","רוח","חובה"
"content-matching-086","מילת התאמה","ברק","חובה"
"content-matching-087","מילת התאמה","קשת","חובה"
"content-matching-088","מילת התאמה","ערפל","חובה"
"content-matching-089","מילת התאמה","סערה","חובה"
"content-matching-090","מילת התאמה","טיפה","חובה"
"content-matching-091","מילת התאמה","פרח","חובה"
"content-matching-092","מילת התאמה","עץ","חובה"
"content-matching-093","מילת התאמה","עלה","חובה"
"content-matching-094","מילת התאמה","קקטוס","חובה"
"content-matching-095","מילת התאמה","שתיל","חובה"
"content-matching-096","מילת התאמה","חמנייה","חובה"
"content-matching-097","מילת התאמה","ורד","חובה"
"content-matching-098","מילת התאמה","עשב","חובה"
"content-matching-099","מילת התאמה","תלתן","חובה"
"content-matching-100","מילת התאמה","דקל","חובה"
"content-matching-101","מילת התאמה","כדור","חובה"
"content-matching-102","מילת התאמה","בובה","חובה"
"content-matching-103","מילת התאמה","דובי","חובה"
"content-matching-104","מילת התאמה","קוביות","חובה"
"content-matching-105","מילת התאמה","עפיפון","חובה"
"content-matching-106","מילת התאמה","יו-יו","חובה"
"content-matching-107","מילת התאמה","פאזל","חובה"
"content-matching-108","מילת התאמה","בלון","חובה"
"content-matching-109","מילת התאמה","רובוט","חובה"
"content-matching-110","מילת התאמה","רכבת צעצוע","חובה"
"content-matching-111","מילת התאמה","כוס","חובה"
"content-matching-112","מילת התאמה","צלחת","חובה"
"content-matching-113","מילת התאמה","כף","חובה"
"content-matching-114","מילת התאמה","סיר","חובה"
"content-matching-115","מילת התאמה","מחבת","חובה"
"content-matching-116","מילת התאמה","קומקום","חובה"
"content-matching-117","מילת התאמה","מזלג","חובה"
"content-matching-118","מילת התאמה","בקבוק","חובה"
"content-matching-119","מילת התאמה","קערה","חובה"
"content-matching-120","מילת התאמה","ספל","חובה"
"content-memory-054","קלף זיכרון","▰ שולחן","חובה"
"content-numbers-001","שאלה: numbers","בחרו את המספר 1","חובה"
"content-numbers-002","שאלה: numbers","כמה פריטים יש בתמונה?","חובה"
"content-numbers-003","שאלה: numbers","איזה מספר בא אחרי 3?","חובה"
"content-numbers-004","שאלה: numbers","כמה הם 1 ועוד 1?","חובה"
"content-numbers-005","שאלה: numbers","בחרו את המספר 2","חובה"
"content-numbers-007","שאלה: numbers","איזה מספר בא אחרי 1?","חובה"
"content-numbers-008","שאלה: numbers","כמה הם 2 ועוד 1?","חובה"
"content-numbers-009","שאלה: numbers","בחרו את המספר 3","חובה"
"content-numbers-011","שאלה: numbers","איזה מספר בא אחרי 2?","חובה"
"content-numbers-012","שאלה: numbers","כמה הם 3 ועוד 1?","חובה"
"content-numbers-016","שאלה: numbers","כמה הם 3 ועוד 2?","חובה"
"content-numbers-017","שאלה: numbers","בחרו את המספר 4","חובה"
"content-numbers-019","שאלה: numbers","איזה מספר בא אחרי 6?","חובה"
"content-numbers-020","שאלה: numbers","כמה הם 7 ועוד 3?","חובה"
"content-numbers-021","שאלה: numbers","בחרו את המספר 8","חובה"
"content-numbers-023","שאלה: numbers","איזה מספר בא אחרי 10?","חובה"
"content-numbers-024","שאלה: numbers","כמה הם 11 ועוד 4?","חובה"
"content-numbers-025","שאלה: numbers","בחרו את המספר 12","חובה"
"content-numbers-028","שאלה: numbers","כמה הם 2 ועוד 2?","חובה"
"content-numbers-031","שאלה: numbers","איזה מספר בא אחרי 7?","חובה"
"content-numbers-032","שאלה: numbers","כמה הם 8 ועוד 1?","חובה"
"content-numbers-036","שאלה: numbers","כמה הם 4 ועוד 1?","חובה"
"content-numbers-037","שאלה: numbers","בחרו את המספר 5","חובה"
"content-numbers-047","שאלה: numbers","איזה מספר בא אחרי 8?","חובה"
"content-numbers-048","שאלה: numbers","כמה הם 9 ועוד 4?","חובה"
"content-numbers-049","שאלה: numbers","בחרו את המספר 10","חובה"
"content-numbers-051","שאלה: numbers","איזה מספר בא אחרי 12?","חובה"
"content-numbers-052","שאלה: numbers","כמה הם 13 ועוד 2?","חובה"
"content-numbers-056","שאלה: numbers","כמה הם 4 ועוד 3?","חובה"
"content-numbers-060","שאלה: numbers","כמה הם 8 ועוד 4?","חובה"
"content-numbers-076","שאלה: numbers","כמה הם 4 ועוד 2?","חובה"
"content-numbers-080","שאלה: numbers","כמה הם 8 ועוד 3?","חובה"
"content-numbers-081","שאלה: numbers","בחרו את המספר 9","חובה"
"content-numbers-083","שאלה: numbers","איזה מספר בא אחרי 11?","חובה"
"content-numbers-084","שאלה: numbers","כמה הם 12 ועוד 4?","חובה"
"content-numbers-085","שאלה: numbers","בחרו את המספר 13","חובה"
"content-numbers-087","שאלה: numbers","איזה מספר בא אחרי 15?","חובה"
"content-numbers-088","שאלה: numbers","כמה הם 16 ועוד 2?","חובה"
"content-numbers-089","שאלה: numbers","בחרו את המספר 17","חובה"
"content-numbers-092","שאלה: numbers","כמה הם 1 ועוד 3?","חובה"
"content-numbers-096","שאלה: numbers","כמה הם 6 ועוד 4?","חובה"
"content-numbers-100","שאלה: numbers","כמה הם 9 ועוד 2?","חובה"
"content-numbers-104","שאלה: numbers","כמה הם 13 ועוד 3?","חובה"
"content-numbers-108","שאלה: numbers","כמה הם 18 ועוד 4?","חובה"
"content-numbers-112","שאלה: numbers","כמה הם 8 ועוד 2?","חובה"
"content-numbers-116","שאלה: numbers","כמה הם 12 ועוד 3?","חובה"
"content-numbers-124","שאלה: numbers","כמה הם 7 ועוד 2?","חובה"
"content-numbers-128","שאלה: numbers","כמה הם 11 ועוד 3?","חובה"
"content-numbers-136","שאלה: numbers","כמה הם 6 ועוד 2?","חובה"
"content-numbers-140","שאלה: numbers","כמה הם 10 ועוד 3?","חובה"
"content-numbers-148","שאלה: numbers","כמה הם 5 ועוד 2?","חובה"
"content-numbers-152","שאלה: numbers","כמה הם 9 ועוד 3?","חובה"
"content-patterns-001","שאלה: patterns","מה משלים את הרצף?","חובה"
"content-shapes-001","שאלה: shapes","איזו צורה מופיעה כאן?","חובה"
"content-shapes-002","שאלה: shapes","איזו צורה מתאימה לחלון?","חובה"
"content-shapes-003","שאלה: shapes","כמה צלעות יש למשולש?","חובה"
"content-shapes-005","שאלה: shapes","איזו צורה מתאימה לכוכב?","חובה"
"content-shapes-006","שאלה: shapes","כמה צלעות יש ללב?","חובה"
"content-shapes-008","שאלה: shapes","איזו צורה מתאימה לעפיפון?","חובה"
"content-shapes-009","שאלה: shapes","כמה צלעות יש למחומש?","חובה"
"content-shapes-011","שאלה: shapes","איזו צורה מתאימה לכדור?","חובה"
"content-shapes-012","שאלה: shapes","כמה צלעות יש לריבוע?","חובה"
"content-shapes-014","שאלה: shapes","איזו צורה מתאימה לדלת?","חובה"
"content-shapes-015","שאלה: shapes","כמה צלעות יש לכוכב?","חובה"
"content-shapes-017","שאלה: shapes","איזו צורה מתאימה לביצה?","חובה"
"content-shapes-018","שאלה: shapes","כמה צלעות יש למעוין?","חובה"
"content-shapes-020","שאלה: shapes","איזו צורה מתאימה לחלת דבש?","חובה"
"content-shapes-021","שאלה: shapes","כמה צלעות יש לעיגול?","חובה"
"content-shapes-023","שאלה: shapes","איזו צורה מתאימה לתמרור?","חובה"
"content-shapes-024","שאלה: shapes","כמה צלעות יש למלבן?","חובה"
"content-shapes-026","שאלה: shapes","איזו צורה מתאימה ללב?","חובה"
"content-shapes-027","שאלה: shapes","כמה צלעות יש לאליפסה?","חובה"
"content-shapes-029","שאלה: shapes","איזו צורה מתאימה למחומש?","חובה"
"content-shapes-030","שאלה: shapes","כמה צלעות יש למשושה?","חובה"
"content-sorting-001","שאלה: sorting","לאיזו קבוצה שייך תפוח?","חובה"
"content-sorting-002","שאלה: sorting","לאיזו קבוצה שייך בננה?","חובה"
"content-sorting-003","שאלה: sorting","לאיזו קבוצה שייך ענבים?","חובה"
"content-sorting-004","שאלה: sorting","לאיזו קבוצה שייך תות?","חובה"
"content-sorting-005","שאלה: sorting","לאיזו קבוצה שייך אבטיח?","חובה"
"content-sorting-006","שאלה: sorting","לאיזו קבוצה שייך אגס?","חובה"
"content-sorting-007","שאלה: sorting","לאיזו קבוצה שייך אפרסק?","חובה"
"content-sorting-008","שאלה: sorting","לאיזו קבוצה שייך דובדבנים?","חובה"
"content-sorting-009","שאלה: sorting","לאיזו קבוצה שייך אננס?","חובה"
"content-sorting-010","שאלה: sorting","לאיזו קבוצה שייך תפוז?","חובה"
"content-sorting-011","שאלה: sorting","לאיזו קבוצה שייך גזר?","חובה"
"content-sorting-012","שאלה: sorting","לאיזו קבוצה שייך עגבנייה?","חובה"
"content-sorting-013","שאלה: sorting","לאיזו קבוצה שייך מלפפון?","חובה"
"content-sorting-014","שאלה: sorting","לאיזו קבוצה שייך תירס?","חובה"
"content-sorting-015","שאלה: sorting","לאיזו קבוצה שייך פלפל?","חובה"
"content-sorting-016","שאלה: sorting","לאיזו קבוצה שייך ברוקולי?","חובה"
"content-sorting-017","שאלה: sorting","לאיזו קבוצה שייך בצל?","חובה"
"content-sorting-018","שאלה: sorting","לאיזו קבוצה שייך תפוח אדמה?","חובה"
"content-sorting-019","שאלה: sorting","לאיזו קבוצה שייך חציל?","חובה"
"content-sorting-020","שאלה: sorting","לאיזו קבוצה שייך חסה?","חובה"
"content-sorting-021","שאלה: sorting","לאיזו קבוצה שייך כלב?","חובה"
"content-sorting-022","שאלה: sorting","לאיזו קבוצה שייך חתול?","חובה"
"content-sorting-023","שאלה: sorting","לאיזו קבוצה שייך אריה?","חובה"
"content-sorting-024","שאלה: sorting","לאיזו קבוצה שייך פיל?","חובה"
"content-sorting-025","שאלה: sorting","לאיזו קבוצה שייך קוף?","חובה"
"content-sorting-026","שאלה: sorting","לאיזו קבוצה שייך דג?","חובה"
"content-sorting-027","שאלה: sorting","לאיזו קבוצה שייך ציפור?","חובה"
"content-sorting-028","שאלה: sorting","לאיזו קבוצה שייך צב?","חובה"
"content-sorting-029","שאלה: sorting","לאיזו קבוצה שייך ארנב?","חובה"
"content-sorting-030","שאלה: sorting","לאיזו קבוצה שייך פרפר?","חובה"
"content-sorting-031","שאלה: sorting","לאיזו קבוצה שייך מכונית?","חובה"
"content-sorting-032","שאלה: sorting","לאיזו קבוצה שייך אוטובוס?","חובה"
"content-sorting-033","שאלה: sorting","לאיזו קבוצה שייך רכבת?","חובה"
"content-sorting-034","שאלה: sorting","לאיזו קבוצה שייך אופניים?","חובה"
"content-sorting-035","שאלה: sorting","לאיזו קבוצה שייך מטוס?","חובה"
"content-sorting-036","שאלה: sorting","לאיזו קבוצה שייך סירה?","חובה"
"content-sorting-037","שאלה: sorting","לאיזו קבוצה שייך משאית?","חובה"
"content-sorting-038","שאלה: sorting","לאיזו קבוצה שייך מונית?","חובה"
"content-sorting-039","שאלה: sorting","לאיזו קבוצה שייך טרקטור?","חובה"
"content-sorting-040","שאלה: sorting","לאיזו קבוצה שייך קורקינט?","חובה"
"content-sorting-041","שאלה: sorting","לאיזו קבוצה שייך חולצה?","חובה"
"content-sorting-042","שאלה: sorting","לאיזו קבוצה שייך מכנסיים?","חובה"
"content-sorting-043","שאלה: sorting","לאיזו קבוצה שייך שמלה?","חובה"
"content-sorting-044","שאלה: sorting","לאיזו קבוצה שייך גרב?","חובה"
"content-sorting-045","שאלה: sorting","לאיזו קבוצה שייך נעל?","חובה"
"content-sorting-046","שאלה: sorting","לאיזו קבוצה שייך כובע?","חובה"
"content-sorting-047","שאלה: sorting","לאיזו קבוצה שייך מעיל?","חובה"
"content-sorting-048","שאלה: sorting","לאיזו קבוצה שייך כפפה?","חובה"
"content-sorting-049","שאלה: sorting","לאיזו קבוצה שייך צעיף?","חובה"
"content-sorting-050","שאלה: sorting","לאיזו קבוצה שייך סנדל?","חובה"
"content-sorting-051","שאלה: sorting","לאיזו קבוצה שייך כיסא?","חובה"
"content-sorting-052","שאלה: sorting","לאיזו קבוצה שייך מיטה?","חובה"
"content-sorting-053","שאלה: sorting","לאיזו קבוצה שייך ספה?","חובה"
"content-sorting-054","שאלה: sorting","לאיזו קבוצה שייך שולחן?","חובה"
"content-sorting-055","שאלה: sorting","לאיזו קבוצה שייך ארון?","חובה"
"content-sorting-056","שאלה: sorting","לאיזו קבוצה שייך מדף?","חובה"
